,BBH,ZYB,AUB,ASB,BPL,NLB,MAB,MDH,FMB,WMH,BNL,NPH,NAA
C79-B25,135.00,135.00,123.50,105.00,104.50,30.00,67.50,39.50,112.50,22.00,92.50,68.50,43.859
C79-B31,140.00,,,125.50,98.00,25.00,66.00,40.00,112.50,27.00,100.00,80.50,36.390
C79-B32,130.00,,110.00,101.00,,,,45.00,100.00,25.50,,,
C79-B79,135.00,118.00,92.75,99.50,90.00,23.50,61.00,38.00,100.00,24.50,100.00,68.00,47.156
C80 BC10,130.00,124.00,118.50,105.00,84.00,22.50,49.50,30.50,101.00,21.00,85.00,62.00,43.163
C80-BC13,140.00,137.50,132.75,112.00,97.00,28.25,70.50,40.00,109.10,22.80,100.00,67.50,47.546
C80-BC15,132.50,,117.00,102.00,87.50,24.00,58.00,38.00,102.00,24.00,95.00,73.00,39.788
C80 BC25,132.50,127.50,124.00,108.00,98.00,21.00,63.50,43.00,101.00,20.00,100.00,63.25,50.765
C80-BC31,135.00,,122.00,107.50,68.00,26.50,50.00,33.00,106.00,28.50,100.00,68.20,46.999
C80-BC35,135.00,,119.00,107.75,87.50,25.00,52.75,28.50,102.50,20.00,135.00,63.75,61.821
C80-BC37,145.00,,120.00,111.00,94.50,23.50,67.00,45.00,108.00,26.00,110.00,81.50,42.191
C80-BC38,140.00,136.00,123.00,129.50,93.00,21.50,59.00,34.00,108.00,23.50,95.00,70.00,42.981
Crusader,125.00,128.00,120.50,108.00,86.50,25.00,67.50,45.00,98.00,22.00,90.00,66.00,42.833
